date,sndk,sndk_chg,rsi,sma50,iv30,total,gate_n,fz_lit,status
2026-06-12,1980.1,5.24,70.6,1293.35,107,28.6,2,9,只记录
2026-06-15,2107.86,6.45,73.9,1321.48,100.7,26.2,1,9,只记录
2026-06-16,1991.55,-5.52,66.6,1346.82,107,24.1,1,9,只记录
2026-06-17,1958.8,-1.64,64.7,1371.78,103.7,26.2,2,9,只记录
2026-06-18,2184.75,11.54,70.9,1399.86,110.9,26.2,2,9,只记录
2026-06-22,2273.73,4.07,73.0,1428.3,107,28.6,2,9,只记录
2026-06-23,1963.6,-13.64,57.8,1450.54,107,29.8,2,9,只记录
2026-06-24,1914.46,-2.5,55.8,1469.77,107,30.1,2,9,只记录
2026-06-25,2335.0,21.97,66.4,1497.59,107,31.0,2,9,只记录
2026-06-26,2090.71,-10.46,57.7,1521.57,107,30.7,2,9,只记录
2026-06-29,2050.39,-1.93,56.4,1544.18,107,30.7,2,9,只记录
2026-06-30,2273.73,10.89,61.6,1571.24,107,30.1,2,9,只记录
2026-07-01,2032.22,-10.62,54.1,1593.62,107,31.0,2,9,只记录
2026-07-02,1745.0,-14.13,46.8,1610.45,107,34.3,2,9,只记录
2026-07-06,1744.43,-0.03,46.8,1625.76,107,34.6,2,9,只记录
2026-07-07,1617.7,-7.26,43.8,1639.47,147.0,35.2,3,8,监控
2026-07-08,1727.18,6.77,47.0,1654.21,107,33.1,2,9,只记录
2026-07-09,1858.27,7.59,50.6,1669.97,107,29.2,2,9,只记录
2026-07-10,1915.92,3.1,52.1,1688.24,107,26.5,1,9,只记录
2026-07-13,1673.97,-12.63,45.7,1700.44,107,33.4,3,8,只记录
2026-07-14,1757.82,5.01,48.1,1713.67,107,30.4,2,9,只记录
2026-07-15,1615.0,-8.12,44.5,1722.23,107,36.1,3,8,监控
2026-07-16,1411.08,-12.63,39.9,1725.33,107,37.6,3,8,监控
2026-07-17,1354.82,-3.99,38.7,1724.3,107,37.9,3,8,监控
2026-07-20,1390.95,2.67,39.9,1723.92,107,35.5,3,8,监控
2026-07-21,1589.4,14.27,46.3,1728.91,107,33.4,3,8,只记录
2026-07-22,1599.27,0.62,46.6,1729.65,107,31.3,3,8,只记录
2026-07-23,1610.33,0.69,47.0,1730.9,107,31.0,2,8,只记录
2026-07-24,1436.56,-10.79,42.1,1730.59,35.5,36.1,3,8,监控
2026-07-27,1278.23,-11.02,38.3,1727.21,107,35.2,3,8,监控
2026-07-28,1096.1,-14.25,34.3,1721.48,184.0,37.9,3,8,监控
2026-07-29,1015.89,-7.32,32.8,1713.65,107,37.6,3,8,监控
2026-07-30,1279.96,25.99,42.2,1712.58,107,33.1,3,8,只记录
2026-07-31,1214.83,-5.09,40.7,1709.22,107,31.0,3,8,只记录
2026-08-03,1288.03,6.03,43.2,1707.12,208.2,30.7,2,8,只记录
2026-08-04,1427.62,10.84,47.7,1704.83,107,28.3,2,8,只记录
2026-08-05,1350.5,-5.4,45.5,1702.27,107,30.4,2,8,只记录
2026-08-06,1258.58,-6.81,43.1,1695.65,107,30.1,2,8,只记录
2026-08-07,1212.21,-3.68,41.8,1688.09,107,29.5,2,8,只记录
2026-08-10,1237.92,2.12,42.8,1680.02,107,30.4,2,8,只记录
2026-08-11,1271.05,2.68,44.1,1671.54,107,31.6,2,8,只记录
2026-08-12,1344.29,5.76,47.0,1663.2,107,28.9,2,8,只记录
2026-08-13,1528.11,13.67,53.5,1659.43,107,27.7,2,8,只记录
2026-08-14,1641.11,7.39,57.0,1655.63,107,28.3,2,8,只记录
2026-08-17,1786.85,8.88,61.1,1656.17,96.1,24.1,1,9,只记录
2026-08-18,1625.78,-9.01,54.9,1657.5,107,30.1,2,8,只记录
2026-08-19,1568.87,-3.5,52.9,1656.04,97.7,32.5,3,8,只记录
